DeviceID,DeviceName,IsSource,IsDestination,InUseState,FaultState,NodeCost
1,CLEAN101,0,0,0,0,1
2,CLEAN102,0,0,0,0,1
3,CLEAN103,0,0,0,0,1
4,CLEAN104,0,0,0,0,1
5,PRESSURE106,0,0,0,0,1
6,PRESSURE107,0,0,0,0,1
7,PRESSURE108,0,0,0,0,1
8,CALIBRATE111,0,0,0,0,1
9,CONVEYOR1,0,0,0,0,1
10,CONVEYOR2,0,0,0,0,1
11,WEIGHT2,0,0,0,0,1
12,PROCESSOR2,0,0,0,0,1
13,CONVEYOR3,0,0,0,0,1
14,WEIGHT3,0,0,0,0,1
15,PROCESSOR3,0,0,0,0,1
16,CONVEYOR4,0,0,0,0,1
17,CONVEYOR5,0,0,0,0,1
18,CONVEYOR6,0,0,0,0,1
19,WEIGHT6,0,0,0,0,1
20,DUST6,0,0,0,0,1
21,PROCESSOR6,0,0,0,0,1
22,CONVEYOR7,0,0,0,0,1
23,WEIGHT7,0,0,0,0,1
24,DUST7,0,0,0,0,1
25,PROCESSOR7,0,0,0,0,1
26,CONVEYOR8,0,0,0,0,1
27,WEIGHT8,0,0,0,0,1
28,CONVEYOR9,0,0,0,0,1
29,CONVEYOR10,0,0,0,0,1
30,WEIGHT10,0,0,0,0,1
31,CONVEYOR11,0,0,0,0,1
32,CONVEYOR12,0,0,0,0,1
33,WEIGHT12,0,0,0,0,1
34,CONVEYOR14,0,0,0,0,1
35,WEIGHT14,0,0,0,0,1
36,DEST1,0,1,0,0,0
37,DEST6,0,1,0,0,0
38,DEST11,0,1,0,0,0
39,DEST_CLEAN,0,1,0,0,0
40,DEST4,0,1,0,0,0
41,DEST5,0,1,0,0,0
42,DEST14,0,1,0,0,0
43,DEST_LOAD,0,1,0,0,0
44,DEST_WEIGH,0,1,0,0,0
45,LINK1,0,0,0,0,1
46,LINK2,0,0,0,0,1
47,LINK3,0,0,0,0,1
48,LINK4,0,0,0,0,1
49,LINK5,0,0,0,0,1
50,LINK6,0,0,0,0,1
51,LINK7,0,0,0,0,1
52,LINK8,0,0,0,0,1
53,DIVERTER1,0,0,0,0,1
54,DIVERTER2,0,0,0,0,1
55,DIVERTER3,0,0,0,0,1
56,DIVERTER6,0,0,0,0,1
57,DIVERTER7,0,0,0,0,1
58,DIVERTER8,0,0,0,0,1
59,ELEVATOR_PATH_1,0,0,0,0,1
60,ELEVATOR_PATH_2,0,0,0,0,1
61,ELEVATOR_PATH_3,0,0,0,0,1
62,ELEVATOR_PATH_4,0,0,0,0,1
63,ELEVATOR1,0,0,0,0,1
64,ELEVATOR_SWICTH_1,0,0,0,0,1
65,ELEVATOR2,0,0,0,0,1
66,ELEVATOR_SWICTH_2,0,0,0,0,1
67,ELEVATOR3,0,0,0,0,1
68,ELEVATOR_SWICTH_3,0,0,0,0,1
69,ELEVATOR4,0,0,0,0,1
70,ELEVATOR_SWICTH_4,0,0,0,0,1
71,FLOW5,0,0,0,0,1
72,FLOW6,0,0,0,0,1
73,FLOW7,0,0,0,0,1
74,PRESS1,0,0,0,0,1
75,CHUTE1,0,0,0,0,1
76,SEPARATOR1,0,0,0,0,1
77,SEPARATOR2,0,0,0,0,1
78,SEPARATOR3,0,0,0,0,1
79,DRIVE1,0,0,0,0,1
80,DRIVE2,0,0,0,0,1
81,DRIVE3,0,0,0,0,1
82,PVC,0,0,0,0,1
83,DISTRIBUTOR1,0,0,0,0,1
84,DISTRIBUTOR2,0,0,0,0,1
85,SCREEN1,0,0,0,0,1
86,SCREEN2,0,0,0,0,1
87,LOAD1,0,0,0,0,1
88,SOURCE_11,1,0,0,0,0
89,SOURCE_1,1,0,0,0,0
90,SOURCE_3,1,0,0,0,0
91,SOURCE_6,1,0,0,0,0
92,SOURCE_7,1,0,0,0,0
93,SOURCE_8,1,0,0,0,0
94,SOURCE_WEIGH,1,0,0,0,0
95,SPLITTER1,0,0,0,0,1
96,SPLITTER1A,0,0,0,0,1
97,SPLITTER1B,0,0,0,0,1
98,SPLITTER2,0,0,0,0,1
99,SPLITTER2A,0,0,0,0,1
100,SPLITTER2B,0,0,0,0,1
101,SPLITTER3,0,0,0,0,1
102,SPLITTER3A,0,0,0,0,1
103,SPLITTER3B,0,0,0,0,1
104,SPLITTER4,0,0,0,0,1
105,SPLITTER4A,0,0,0,0,1
106,SPLITTER4B,0,0,0,0,1
107,SPLITTER5,0,0,0,0,1
108,SPLITTER5A,0,0,0,0,1
109,TRIPPER1,0,0,0,0,1
110,TRIPPER2,0,0,0,0,1
111,MAIN_WEIGHTER1,0,0,0,0,1
112,MAIN_WEIGHTER2,0,0,0,0,1
