PathID,SourceDeviceID,TargetDeviceID,SourceDeviceName,TargetDeviceName,EdgeCost
1,1,83,CLEAN101,DISTRIBUTOR1,1
2,2,84,CLEAN102,DISTRIBUTOR2,1
3,3,86,CLEAN103,SCREEN2,1
4,4,55,CLEAN104,DIVERTER3,1
5,5,18,PRESSURE106,CONVEYOR6,1
6,6,22,PRESSURE107,CONVEYOR7,1
7,7,58,PRESSURE108,DIVERTER8,1
8,8,82,CALIBRATE111,PVC,1
9,9,45,CONVEYOR1,LINK1,1
10,10,11,CONVEYOR2,WEIGHT2,1
11,11,77,WEIGHT2,SEPARATOR2,1
12,12,95,PROCESSOR2,SPLITTER1,1
13,13,14,CONVEYOR3,WEIGHT3,1
14,14,78,WEIGHT3,SEPARATOR3,1
15,15,57,PROCESSOR3,DIVERTER7,1
16,16,74,CONVEYOR4,PRESS1,1
17,17,74,CONVEYOR5,PRESS1,1
18,18,19,CONVEYOR6,WEIGHT6,1
19,19,20,WEIGHT6,DUST6,1
20,20,21,DUST6,PROCESSOR6,1
21,21,53,PROCESSOR6,DIVERTER1,1
22,22,23,CONVEYOR7,WEIGHT7,1
23,23,24,WEIGHT7,DUST7,1
24,24,25,DUST7,PROCESSOR7,1
25,25,54,PROCESSOR7,DIVERTER2,1
26,26,27,CONVEYOR8,WEIGHT8,1
27,27,28,WEIGHT8,CONVEYOR9,1
28,28,76,CONVEYOR9,SEPARATOR1,1
29,29,30,CONVEYOR10,WEIGHT10,1
30,30,31,WEIGHT10,CONVEYOR11,1
31,31,50,CONVEYOR11,LINK6,1
32,32,33,CONVEYOR12,WEIGHT12,1
33,33,43,WEIGHT12,DEST_LOAD,1
34,34,35,CONVEYOR14,WEIGHT14,1
35,35,49,WEIGHT14,LINK5,1
36,45,10,LINK1,CONVEYOR2,1
37,46,13,LINK2,CONVEYOR3,1
38,47,63,LINK3,ELEVATOR1,1
39,47,65,LINK3,ELEVATOR2,1
40,47,96,LINK3,SPLITTER1A,1
41,47,97,LINK3,SPLITTER1B,1
42,47,99,LINK3,SPLITTER2A,1
43,47,100,LINK3,SPLITTER2B,1
44,47,102,LINK3,SPLITTER3A,1
45,47,103,LINK3,SPLITTER3B,1
46,48,103,LINK4,SPLITTER3B,1
47,48,105,LINK4,SPLITTER4A,1
48,48,106,LINK4,SPLITTER4B,1
49,48,108,LINK4,SPLITTER5A,1
50,49,75,LINK5,CHUTE1,1
51,50,39,LINK6,DEST_CLEAN,1
52,50,87,LINK6,LOAD1,1
53,51,52,LINK7,LINK8,1
54,52,32,LINK8,CONVEYOR12,1
55,53,98,DIVERTER1,SPLITTER2,1
56,53,104,DIVERTER1,SPLITTER4,1
57,54,101,DIVERTER2,SPLITTER3,1
58,54,107,DIVERTER2,SPLITTER5,1
59,55,47,DIVERTER3,LINK3,1
60,55,85,DIVERTER3,SCREEN1,1
61,56,112,DIVERTER6,MAIN_WEIGHTER2,1
62,57,47,DIVERTER7,LINK3,1
63,58,18,DIVERTER8,CONVEYOR6,1
64,58,34,DIVERTER8,CONVEYOR14,1
65,59,64,ELEVATOR_PATH_1,ELEVATOR_SWICTH_1,1
66,60,66,ELEVATOR_PATH_2,ELEVATOR_SWICTH_2,1
67,61,68,ELEVATOR_PATH_3,ELEVATOR_SWICTH_3,1
68,62,70,ELEVATOR_PATH_4,ELEVATOR_SWICTH_4,1
69,63,59,ELEVATOR1,ELEVATOR_PATH_1,1
70,64,1,ELEVATOR_SWICTH_1,CLEAN101,1
71,65,60,ELEVATOR2,ELEVATOR_PATH_2,1
72,66,2,ELEVATOR_SWICTH_2,CLEAN102,1
73,67,61,ELEVATOR3,ELEVATOR_PATH_3,1
74,68,3,ELEVATOR_SWICTH_3,CLEAN103,1
75,69,62,ELEVATOR4,ELEVATOR_PATH_4,1
76,70,4,ELEVATOR_SWICTH_4,CLEAN104,1
77,71,56,FLOW5,DIVERTER6,1
78,72,8,FLOW6,CALIBRATE111,1
79,73,69,FLOW7,ELEVATOR4,1
80,74,109,PRESS1,TRIPPER1,1
81,74,110,PRESS1,TRIPPER2,1
82,75,42,CHUTE1,DEST14,1
83,76,79,SEPARATOR1,DRIVE1,1
84,77,80,SEPARATOR2,DRIVE2,1
85,78,15,SEPARATOR3,PROCESSOR3,1
86,78,81,SEPARATOR3,DRIVE3,1
87,79,29,DRIVE1,CONVEYOR10,1
88,80,12,DRIVE2,PROCESSOR2,1
89,81,15,DRIVE3,PROCESSOR3,1
90,82,38,PVC,DEST11,1
91,82,73,PVC,FLOW7,1
92,83,16,DISTRIBUTOR1,CONVEYOR4,1
93,83,17,DISTRIBUTOR1,CONVEYOR5,1
94,83,36,DISTRIBUTOR1,DEST1,1
95,83,37,DISTRIBUTOR1,DEST6,1
96,84,16,DISTRIBUTOR2,CONVEYOR4,1
97,84,17,DISTRIBUTOR2,CONVEYOR5,1
98,84,36,DISTRIBUTOR2,DEST1,1
99,84,37,DISTRIBUTOR2,DEST6,1
100,85,44,SCREEN1,DEST_WEIGH,1
101,85,111,SCREEN1,MAIN_WEIGHTER1,1
102,86,44,SCREEN2,DEST_WEIGH,1
103,86,111,SCREEN2,MAIN_WEIGHTER1,1
104,87,51,LOAD1,LINK7,1
105,88,8,SOURCE_11,CALIBRATE111,1
106,89,9,SOURCE_1,CONVEYOR1,1
107,90,46,SOURCE_3,LINK2,1
108,91,5,SOURCE_6,PRESSURE106,1
109,92,6,SOURCE_7,PRESSURE107,1
110,93,7,SOURCE_8,PRESSURE108,1
111,94,111,SOURCE_WEIGH,MAIN_WEIGHTER1,1
112,95,47,SPLITTER1,LINK3,1
113,96,65,SPLITTER1A,ELEVATOR2,1
114,97,63,SPLITTER1B,ELEVATOR1,1
115,98,47,SPLITTER2,LINK3,1
116,99,63,SPLITTER2A,ELEVATOR1,1
117,100,65,SPLITTER2B,ELEVATOR2,1
118,101,47,SPLITTER3,LINK3,1
119,102,63,SPLITTER3A,ELEVATOR1,1
120,103,65,SPLITTER3B,ELEVATOR2,1
121,103,69,SPLITTER3B,ELEVATOR4,1
122,104,48,SPLITTER4,LINK4,1
123,105,67,SPLITTER4A,ELEVATOR3,1
124,106,69,SPLITTER4B,ELEVATOR4,1
125,107,48,SPLITTER5,LINK4,1
126,108,67,SPLITTER5A,ELEVATOR3,1
127,109,40,TRIPPER1,DEST4,1
128,110,41,TRIPPER2,DEST5,1
129,111,71,MAIN_WEIGHTER1,FLOW5,1
130,112,26,MAIN_WEIGHTER2,CONVEYOR8,1
131,112,72,MAIN_WEIGHTER2,FLOW6,1
